manifest_line_id,sku_id,category,reefer_required,manifest_quantity,warehouse_stock,avg_daily_wh_outflow,wh_days_of_cover,eta_delay_hours,num_dcs_requesting,max_m2_urgency,total_m2_requested_qty,m2_fulfillment_ratio
ML-BEE303AF,SKU-007,antiviral,0,445,438,47.78,9.17,0,145,100.0,27447,0.016
ML-FA1DBC41,SKU-003,antiviral,0,224,70,7.61,9.19,22,134,100.0,23101,0.01
ML-5DDE0DB3,SKU-005,reefer,1,267,75,37.49,2.0,33,146,100.0,28436,0.009
ML-C17CD2D9,SKU-012,antiviral,0,323,157,28.61,5.49,0,151,100.0,26848,0.012
ML-77945947,SKU-010,reefer,1,485,2,48.82,0.04,0,150,100.0,29266,0.017
ML-1F66E9E6,SKU-004,reefer,1,329,264,26.0,10.15,0,118,100.0,21357,0.015
ML-88CC4488,SKU-002,reefer,1,397,314,47.4,6.62,0,127,100.0,21690,0.018
ML-75FE7EF0,SKU-002,reefer,1,349,147,15.85,9.28,35,127,100.0,21690,0.016
ML-B63D4E06,SKU-014,antibiotic,0,90,95,16.65,5.71,0,133,100.0,25421,0.004
ML-0FE5A794,SKU-010,reefer,1,269,150,13.32,11.26,62,150,100.0,29266,0.009
ML-68D287D5,SKU-004,reefer,1,279,333,37.73,8.83,0,118,100.0,21357,0.013
ML-5AAB674E,SKU-014,antibiotic,0,305,364,43.0,8.46,0,133,100.0,25421,0.012
ML-08C2B6A3,SKU-009,antiviral,0,261,0,32.32,0.0,0,134,100.0,25002,0.01
ML-0AACC9B3,SKU-009,antiviral,0,353,2,22.77,0.09,35,134,100.0,25002,0.014
ML-9D0915BF,SKU-003,antiviral,0,298,316,32.27,9.79,12,134,100.0,23101,0.013
ML-B1E7F223,SKU-002,reefer,1,42,46,7.86,5.85,35,127,100.0,21690,0.002
ML-94ABBEB7,SKU-001,cardiac,0,236,115,10.38,11.08,0,160,100.0,29220,0.008
ML-770BD80D,SKU-015,cardiac,0,407,194,27.22,7.13,0,152,100.0,27958,0.015
ML-ABEAD238,SKU-013,reefer,1,188,37,6.41,5.77,0,145,100.0,27420,0.007
ML-31CC26A5,SKU-014,antibiotic,0,494,179,16.22,11.04,0,133,100.0,25421,0.019
ML-29F44A5F,SKU-007,antiviral,0,196,344,36.27,9.49,0,145,100.0,27447,0.007
ML-4A747898,SKU-005,reefer,1,143,3,25.54,0.12,62,146,100.0,28436,0.005
ML-48120F1C,SKU-001,cardiac,0,394,180,15.26,11.8,70,160,100.0,29220,0.013
ML-C075695D,SKU-008,antiviral,0,420,2,23.78,0.08,0,154,100.0,30751,0.014
ML-46146062,SKU-008,antiviral,0,472,7,12.57,0.56,62,154,100.0,30751,0.015
ML-57F6B778,SKU-001,cardiac,0,451,1,48.31,0.02,56,160,100.0,29220,0.015
ML-6E1AB6BF,SKU-001,cardiac,0,196,84,32.43,2.59,0,160,100.0,29220,0.007
ML-96D7A2B3,SKU-001,cardiac,0,394,9,15.78,0.57,32,160,100.0,29220,0.013
ML-A510A3D6,SKU-007,antiviral,0,333,42,8.64,4.86,69,145,100.0,27447,0.012
ML-391A17CD,SKU-004,reefer,1,107,103,33.51,3.07,59,118,100.0,21357,0.005
ML-22D96AD7,SKU-006,antibiotic,0,473,69,6.83,10.1,0,151,100.0,29961,0.016
ML-1A6EABD6,SKU-003,antiviral,0,156,8,20.69,0.39,0,134,100.0,23101,0.007
ML-C3232250,SKU-007,antiviral,0,347,462,42.7,10.82,0,145,100.0,27447,0.013
ML-E50E4806,SKU-015,cardiac,0,487,9,36.31,0.25,60,152,100.0,27958,0.017
ML-E32B140E,SKU-001,cardiac,0,11,433,49.83,8.69,9,160,100.0,29220,0.0
ML-D24783B9,SKU-009,antiviral,0,108,448,36.52,12.27,0,134,100.0,25002,0.004
ML-6B966E39,SKU-001,cardiac,0,417,494,43.29,11.41,0,160,100.0,29220,0.014
ML-F1AE43C1,SKU-014,antibiotic,0,236,297,21.75,13.65,0,133,100.0,25421,0.009
ML-DDA4939B,SKU-014,antibiotic,0,347,374,26.85,13.93,0,133,100.0,25421,0.014
ML-3DA49E6C,SKU-004,reefer,1,298,7,27.23,0.26,0,118,100.0,21357,0.014
ML-72B24AD5,SKU-007,antiviral,0,204,108,34.59,3.12,0,145,100.0,27447,0.007
ML-2B66BA5C,SKU-007,antiviral,0,31,107,15.98,6.7,27,145,100.0,27447,0.001
ML-CF5EE41B,SKU-011,cardiac,0,235,208,20.75,10.02,61,145,100.0,27087,0.009
ML-E0D18839,SKU-003,antiviral,0,13,25,6.09,4.1,46,134,100.0,23101,0.001
ML-C83B15A3,SKU-005,reefer,1,15,7,21.66,0.32,0,146,100.0,28436,0.001
ML-D70F0C6E,SKU-014,antibiotic,0,190,89,30.75,2.89,0,133,100.0,25421,0.007
ML-F86C8CA4,SKU-007,antiviral,0,170,8,19.26,0.42,0,145,100.0,27447,0.006
ML-02AA471B,SKU-006,antibiotic,0,67,1,46.85,0.02,0,151,100.0,29961,0.002
ML-1C5F8943,SKU-006,antibiotic,0,160,141,11.3,12.47,33,151,100.0,29961,0.005
ML-BEBC7D40,SKU-009,antiviral,0,308,205,36.9,5.56,0,134,100.0,25002,0.012
ML-C5688F33,SKU-002,reefer,1,418,6,32.52,0.18,0,127,100.0,21690,0.019
ML-46432E1D,SKU-013,reefer,1,29,395,34.25,11.53,15,145,100.0,27420,0.001
ML-2E7E3FAF,SKU-012,antiviral,0,363,22,9.23,2.38,0,151,100.0,26848,0.014
ML-E4285E8C,SKU-015,cardiac,0,199,42,17.89,2.35,0,152,100.0,27958,0.007
ML-DA091E04,SKU-006,antibiotic,0,280,0,21.21,0.0,60,151,100.0,29961,0.009
ML-4272C790,SKU-012,antiviral,0,117,3,33.03,0.09,0,151,100.0,26848,0.004
ML-E9DC6D7F,SKU-003,antiviral,0,320,1,11.23,0.09,0,134,100.0,23101,0.014
ML-41152CDF,SKU-014,antibiotic,0,156,9,40.78,0.22,0,133,100.0,25421,0.006
ML-A2231BE8,SKU-005,reefer,1,483,500,48.32,10.35,0,146,100.0,28436,0.017
ML-2F1A2DEC,SKU-010,reefer,1,131,5,12.04,0.42,1,150,100.0,29266,0.004
ML-A8DCB72A,SKU-013,reefer,1,496,371,34.57,10.73,0,145,100.0,27420,0.018
ML-402A5DA2,SKU-010,reefer,1,153,4,12.14,0.33,0,150,100.0,29266,0.005
ML-CFE96693,SKU-014,antibiotic,0,247,9,49.08,0.18,39,133,100.0,25421,0.01
ML-5FB4CC6A,SKU-004,reefer,1,298,66,25.91,2.55,34,118,100.0,21357,0.014
ML-56F2238F,SKU-004,reefer,1,232,45,5.69,7.91,0,118,100.0,21357,0.011
ML-CD80D5C6,SKU-013,reefer,1,13,436,32.71,13.33,32,145,100.0,27420,0.0
ML-D27F1958,SKU-011,cardiac,0,349,300,30.9,9.71,0,145,100.0,27087,0.013
ML-471D2967,SKU-003,antiviral,0,436,641,47.37,13.53,44,134,100.0,23101,0.019
ML-C0B10DD5,SKU-013,reefer,1,406,36,14.66,2.46,0,145,100.0,27420,0.015
ML-8FFC0F70,SKU-007,antiviral,0,346,351,34.51,10.17,0,145,100.0,27447,0.013
ML-093F40DD,SKU-003,antiviral,0,114,168,27.32,6.15,36,134,100.0,23101,0.005
ML-E0BE1F4A,SKU-009,antiviral,0,286,343,48.54,7.07,0,134,100.0,25002,0.011
ML-105F15B0,SKU-003,antiviral,0,186,0,37.92,0.0,24,134,100.0,23101,0.008
ML-724503FC,SKU-007,antiviral,0,199,6,30.28,0.2,30,145,100.0,27447,0.007
ML-67CE135C,SKU-001,cardiac,0,378,161,27.74,5.8,49,160,100.0,29220,0.013
ML-BC22B834,SKU-004,reefer,1,405,301,48.13,6.25,52,118,100.0,21357,0.019
ML-523F1BE1,SKU-003,antiviral,0,376,8,8.75,0.91,0,134,100.0,23101,0.016
ML-2DE4682E,SKU-005,reefer,1,493,159,47.58,3.34,58,146,100.0,28436,0.017
ML-30979AA4,SKU-007,antiviral,0,407,376,29.73,12.65,0,145,100.0,27447,0.015
ML-11BD46A4,SKU-002,reefer,1,248,107,11.43,9.36,0,127,100.0,21690,0.011
ML-F6F7CC28,SKU-007,antiviral,0,183,1,36.54,0.03,66,145,100.0,27447,0.007
ML-4379FC2E,SKU-005,reefer,1,38,57,8.82,6.46,0,146,100.0,28436,0.001
ML-1EA75B13,SKU-004,reefer,1,154,525,47.63,11.02,0,118,100.0,21357,0.007
ML-71979763,SKU-015,cardiac,0,284,283,39.97,7.08,39,152,100.0,27958,0.01
ML-166CC574,SKU-014,antibiotic,0,460,145,16.42,8.83,61,133,100.0,25421,0.018
ML-D5877A73,SKU-015,cardiac,0,370,186,38.49,4.83,0,152,100.0,27958,0.013
ML-D19C1BB2,SKU-012,antiviral,0,378,63,8.73,7.22,45,151,100.0,26848,0.014
ML-6FE33C72,SKU-013,reefer,1,326,4,19.52,0.2,36,145,100.0,27420,0.012
