dc_id,sku_id,category,physical_stock,in_transit_stock,effective_stock,avg_daily_sales,sales_trend_7d,projected_daily_sales,hourly_sales,safety_stock,stock_to_sales_ratio,days_of_cover,day_of_week,is_weekend,hour_of_day,lead_time_hours,projected_48h_sales,expected_stock_at_48h,hours_until_shortage,will_shortage
DC-02,SKU-012,antiviral,0,0,0,24.46,0.874,21.37,0.8905,10,0.0,0.0,2,0,9,6,42.74,-42.74,0.0,1
DC-03,SKU-012,antiviral,247,0,247,63.17,1.133,71.58,2.9824,35,3.451,3.45,2,0,6,12,143.15,103.85,48.0,0
DC-04,SKU-009,antiviral,185,53,238,115.98,1.328,153.97,6.4154,76,1.546,1.55,6,1,11,18,307.94,-69.94,25.25,0
DC-01,SKU-004,reefer,50,4,54,24.32,1.28,31.13,1.297,15,1.735,1.73,3,0,21,6,62.25,-8.25,30.07,1
DC-04,SKU-002,reefer,56,28,84,49.23,1.434,70.6,2.9416,35,1.19,1.19,5,1,7,36,141.2,-57.2,16.66,1
DC-05,SKU-008,antiviral,191,5,196,44.74,0.853,38.16,1.5898,19,5.137,5.14,6,1,12,6,76.31,119.69,48.0,0
DC-01,SKU-012,antiviral,128,27,155,37.34,0.613,22.88,0.9532,11,6.776,6.78,1,0,6,24,45.75,109.25,48.0,0
DC-01,SKU-008,antiviral,63,49,112,55.59,0.686,38.12,1.5885,19,2.938,2.94,4,0,2,24,76.25,35.75,48.0,0
DC-03,SKU-001,cardiac,153,0,153,47.8,1.475,70.49,2.9369,35,2.171,2.17,5,1,6,6,140.97,12.03,40.18,1
DC-02,SKU-010,reefer,196,28,224,54.4,0.782,42.52,1.7716,21,5.268,5.27,4,0,3,36,85.04,138.96,48.0,0
DC-05,SKU-015,cardiac,199,0,199,91.4,0.806,73.66,3.0692,36,2.702,2.7,1,0,9,36,147.32,51.68,48.0,0
DC-04,SKU-012,antiviral,53,8,61,28.56,0.975,27.84,1.16,13,2.191,2.19,6,1,6,36,55.68,5.32,41.38,1
DC-03,SKU-014,antibiotic,3,1,4,3.06,0.917,2.81,0.117,1,1.425,1.42,0,0,18,12,5.62,-1.62,25.64,1
DC-03,SKU-006,antibiotic,49,1,50,28.6,1.102,31.52,1.3134,15,1.586,1.59,1,0,19,12,63.04,-13.04,26.65,1
DC-03,SKU-001,cardiac,37,0,37,20.33,1.498,30.45,1.2687,15,1.215,1.22,0,0,18,24,60.9,-23.9,17.34,1
DC-02,SKU-006,antibiotic,74,6,80,31.32,1.205,37.74,1.5724,18,2.12,2.12,6,1,5,18,75.48,4.52,39.43,1
DC-03,SKU-015,cardiac,13,0,13,13.56,1.352,18.34,0.764,9,0.709,0.71,3,0,3,6,36.67,-23.67,5.24,1
DC-03,SKU-004,reefer,129,30,159,78.49,0.757,59.41,2.4753,29,2.676,2.68,1,0,7,12,118.82,40.18,48.0,0
DC-01,SKU-002,reefer,413,72,485,111.19,1.39,154.51,6.4379,77,3.139,3.14,3,0,16,12,309.02,175.98,48.0,0
DC-04,SKU-005,reefer,70,0,70,108.35,1.17,126.75,5.2811,63,0.552,0.55,2,0,18,24,253.49,-183.49,1.33,1
DC-01,SKU-008,antiviral,356,38,394,102.56,1.442,147.9,6.1624,73,2.664,2.66,0,0,2,48,295.79,98.21,48.0,0
DC-02,SKU-002,reefer,348,0,348,83.95,1.187,99.63,4.1513,49,3.493,3.49,0,0,3,12,199.26,148.74,48.0,0
DC-04,SKU-008,antiviral,294,0,294,79.01,1.364,107.79,4.4912,53,2.728,2.73,2,0,21,12,215.58,78.42,48.0,0
DC-05,SKU-003,antiviral,573,59,632,107.37,1.168,125.41,5.2254,62,5.039,5.04,3,0,14,18,250.82,381.18,48.0,0
DC-05,SKU-003,antiviral,0,77,77,69.92,1.292,90.32,3.7634,45,0.853,0.85,4,0,23,18,180.64,-103.64,8.5,1
DC-03,SKU-012,antiviral,219,156,375,102.8,0.865,88.92,3.7052,44,4.217,4.22,2,0,17,24,177.85,197.15,48.0,0
DC-02,SKU-003,antiviral,180,75,255,69.7,0.687,47.91,1.9964,23,5.322,5.32,0,0,8,24,95.83,159.17,48.0,0
DC-05,SKU-010,reefer,76,191,267,97.7,1.329,129.85,5.4103,64,2.056,2.06,1,0,6,18,259.69,7.31,37.52,1
DC-01,SKU-008,antiviral,172,6,178,85.13,1.316,112.05,4.6687,56,1.589,1.59,6,1,21,18,224.1,-46.1,26.13,1
DC-05,SKU-006,antibiotic,262,0,262,72.13,0.627,45.26,1.8857,22,5.789,5.79,5,1,14,18,90.51,171.49,48.0,0
DC-01,SKU-008,antiviral,130,0,130,93.09,0.794,73.94,3.0806,36,1.758,1.76,3,0,14,24,147.87,-17.87,30.51,1
DC-05,SKU-002,reefer,179,16,195,63.41,0.891,56.47,2.3531,28,3.453,3.45,3,0,22,12,112.95,82.05,48.0,0
DC-01,SKU-012,antiviral,90,51,141,50.85,0.756,38.44,1.6016,19,3.668,3.67,4,0,20,24,76.88,64.12,48.0,0
DC-05,SKU-006,antibiotic,134,12,146,88.41,0.643,56.85,2.3686,28,2.568,2.57,5,1,13,6,113.69,32.31,48.0,0
DC-04,SKU-005,reefer,0,0,0,58.48,0.688,40.24,1.6765,20,0.0,0.0,5,1,4,18,80.47,-80.47,0.0,1
DC-05,SKU-004,reefer,7,4,11,8.3,0.937,7.78,0.3241,3,1.414,1.41,0,0,23,24,15.56,-4.56,24.68,1
DC-02,SKU-001,cardiac,356,11,367,104.46,1.173,122.51,5.1046,61,2.996,3.0,4,0,18,36,245.02,121.98,48.0,0
DC-01,SKU-001,cardiac,320,0,320,79.22,0.786,62.27,2.5946,31,5.139,5.14,3,0,13,6,124.54,195.46,48.0,0
DC-03,SKU-007,antiviral,18,0,18,11.33,0.887,10.05,0.4187,5,1.791,1.79,4,0,17,24,20.1,-2.1,31.05,1
DC-04,SKU-009,antiviral,366,0,366,97.01,0.854,82.83,3.4512,41,4.419,4.42,0,0,23,36,165.66,200.34,48.0,0
DC-04,SKU-002,reefer,89,0,89,32.25,1.122,36.2,1.5084,18,2.458,2.46,6,1,12,24,72.4,16.6,47.07,1
DC-01,SKU-001,cardiac,255,0,255,62.11,1.344,83.47,3.4779,41,3.055,3.05,2,0,18,18,166.94,88.06,48.0,1
DC-01,SKU-003,antiviral,73,3,76,13.68,0.887,12.14,0.5058,6,6.26,6.26,0,0,19,24,24.28,51.72,48.0,0
DC-01,SKU-007,antiviral,56,0,56,13.67,1.045,14.29,0.5953,7,3.92,3.92,6,1,4,24,28.57,27.43,48.0,0
DC-03,SKU-002,reefer,306,51,357,116.33,1.219,141.84,5.9098,70,2.517,2.52,1,0,8,36,283.67,73.33,48.0,0
DC-05,SKU-013,reefer,33,4,37,12.93,1.488,19.23,0.8014,9,1.924,1.92,3,0,16,36,38.47,-1.47,34.94,1
DC-04,SKU-004,reefer,139,89,228,47.02,0.675,31.75,1.3228,15,7.182,7.18,6,1,2,12,63.49,164.51,48.0,0
DC-02,SKU-004,reefer,79,18,97,16.9,0.706,11.93,0.497,5,8.132,8.13,4,0,16,6,23.86,73.14,48.0,0
DC-05,SKU-006,antibiotic,0,0,0,96.85,1.48,143.34,5.9727,71,0.0,0.0,4,0,10,36,286.69,-286.69,0.0,1
DC-03,SKU-004,reefer,40,0,40,11.83,0.75,8.86,0.3694,4,4.512,4.51,6,1,0,24,17.73,22.27,48.0,0
DC-01,SKU-011,cardiac,83,9,92,35.87,1.455,52.21,2.1753,26,1.762,1.76,3,0,3,18,104.42,-12.42,30.34,1
DC-02,SKU-012,antiviral,47,11,58,12.09,1.477,17.86,0.7443,8,3.247,3.25,0,0,8,18,35.73,22.27,48.0,0
DC-04,SKU-013,reefer,43,37,80,18.58,0.669,12.42,0.5177,6,6.439,6.44,1,0,23,36,24.85,55.15,48.0,0
DC-05,SKU-007,antiviral,177,172,349,51.12,1.3,66.44,2.7685,33,5.253,5.25,2,0,20,24,132.89,216.11,48.0,0
DC-03,SKU-011,cardiac,209,136,345,69.58,0.657,45.73,1.9053,22,7.545,7.54,6,1,4,24,91.45,253.55,48.0,0
DC-03,SKU-001,cardiac,167,0,167,31.21,0.785,24.48,1.0201,12,6.821,6.82,4,0,12,12,48.97,118.03,48.0,0
DC-02,SKU-012,antiviral,0,10,10,34.43,0.62,21.35,0.8895,10,0.468,0.47,0,0,21,48,42.7,-32.7,0.0,1
DC-03,SKU-009,antiviral,151,88,239,72.02,1.032,74.33,3.0972,37,3.215,3.22,5,1,1,36,148.67,90.33,48.0,0
DC-04,SKU-002,reefer,31,15,46,44.02,1.131,49.78,2.0742,24,0.924,0.92,5,1,0,24,99.56,-53.56,10.61,1
DC-02,SKU-003,antiviral,0,124,124,84.62,1.317,111.44,4.6431,55,1.113,1.11,0,0,19,18,222.87,-98.87,14.86,1
DC-05,SKU-002,reefer,96,0,96,41.46,1.17,48.52,2.0215,24,1.979,1.98,6,1,15,12,97.03,-1.03,35.62,1
DC-04,SKU-008,antiviral,201,48,249,84.49,0.97,82.0,3.4166,40,3.037,3.04,1,0,18,6,164.0,85.0,48.0,0
DC-04,SKU-010,reefer,55,0,55,23.71,0.68,16.12,0.6716,8,3.412,3.41,1,0,16,18,32.24,22.76,48.0,0
DC-01,SKU-010,reefer,91,0,91,96.53,1.165,112.47,4.6862,56,0.809,0.81,5,1,10,36,224.94,-133.94,7.47,1
DC-02,SKU-004,reefer,165,51,216,97.33,1.273,123.94,5.1641,61,1.743,1.74,1,0,22,18,247.88,-31.88,30.02,1
DC-02,SKU-014,antibiotic,33,30,63,20.29,0.72,14.6,0.6084,7,4.315,4.31,2,0,14,6,29.2,33.8,48.0,0
DC-03,SKU-003,antiviral,69,0,69,31.37,0.842,26.42,1.1009,13,2.611,2.61,6,1,21,18,52.85,16.15,48.0,0
DC-01,SKU-013,reefer,175,39,214,72.45,1.211,87.75,3.6563,43,2.439,2.44,6,1,3,18,175.5,38.5,46.77,1
DC-01,SKU-012,antiviral,82,6,88,17.93,0.855,15.33,0.6389,7,5.739,5.74,4,0,5,24,30.67,57.33,48.0,0
DC-05,SKU-006,antibiotic,24,3,27,45.75,1.039,47.53,1.9805,23,0.568,0.57,5,1,23,36,95.06,-68.06,2.02,1
DC-03,SKU-015,cardiac,109,81,190,51.02,1.484,75.72,3.1548,37,2.509,2.51,5,1,21,12,151.43,38.57,48.0,0
DC-03,SKU-014,antibiotic,127,29,156,111.74,1.101,123.03,5.1263,61,1.268,1.27,3,0,4,12,246.06,-90.06,18.53,1
DC-03,SKU-004,reefer,180,0,180,62.39,0.818,51.05,2.1269,25,3.526,3.53,4,0,10,36,102.09,77.91,48.0,0
DC-03,SKU-001,cardiac,52,29,81,46.2,1.009,46.61,1.942,23,1.738,1.74,1,0,12,24,93.22,-12.22,29.87,1
DC-05,SKU-009,antiviral,0,0,0,91.95,1.136,104.46,4.3524,52,0.0,0.0,0,0,4,36,208.92,-208.92,0.0,1
DC-05,SKU-008,antiviral,155,248,403,118.94,0.785,93.31,3.8878,46,4.319,4.32,5,1,7,36,186.62,216.38,48.0,0
DC-04,SKU-014,antibiotic,346,30,376,99.54,0.768,76.42,3.1843,38,4.92,4.92,1,0,17,36,152.85,223.15,48.0,0
DC-03,SKU-013,reefer,21,8,29,38.26,1.273,48.7,2.0292,24,0.595,0.6,0,0,14,18,97.4,-68.4,2.46,1
DC-03,SKU-007,antiviral,4,0,4,16.68,1.446,24.11,1.0047,12,0.166,0.17,6,1,14,24,48.23,-44.23,0.0,1
DC-03,SKU-004,reefer,504,144,648,119.73,1.277,152.91,6.3714,76,4.238,4.24,0,0,3,24,305.83,342.17,48.0,0
DC-03,SKU-010,reefer,90,5,95,43.02,1.339,57.61,2.4006,28,1.649,1.65,6,1,3,24,115.23,-20.23,27.91,1
DC-03,SKU-003,antiviral,71,97,168,69.16,1.245,86.08,3.5866,43,1.952,1.95,5,1,9,18,172.16,-4.16,34.85,1
DC-02,SKU-014,antibiotic,284,6,290,74.95,1.421,106.48,4.4366,53,2.724,2.72,3,0,4,36,212.96,77.04,48.0,0
DC-02,SKU-001,cardiac,77,75,152,70.43,1.146,80.71,3.363,40,1.883,1.88,0,0,21,36,161.42,-9.42,33.3,1
DC-05,SKU-005,reefer,40,0,40,22.37,0.768,17.17,0.7154,8,2.33,2.33,2,0,7,24,34.34,5.66,44.73,1
DC-05,SKU-009,antiviral,106,2,108,27.05,1.309,35.41,1.4755,17,3.05,3.05,3,0,10,36,70.82,37.18,48.0,0
DC-03,SKU-002,reefer,354,0,354,110.46,1.128,124.64,5.1932,62,2.84,2.84,4,0,23,18,249.28,104.72,48.0,0
DC-03,SKU-006,antibiotic,5,85,90,28.75,0.791,22.75,0.9481,11,3.955,3.96,0,0,16,24,45.51,44.49,48.0,0
DC-05,SKU-008,antiviral,155,0,155,61.76,1.136,70.15,2.9228,35,2.21,2.21,2,0,16,6,140.29,14.71,41.06,1
DC-03,SKU-002,reefer,92,22,114,37.4,1.243,46.48,1.9366,23,2.453,2.45,0,0,17,18,92.96,21.04,46.99,1
DC-04,SKU-001,cardiac,52,25,77,42.12,0.668,28.13,1.1723,14,2.737,2.74,0,0,22,48,56.27,20.73,48.0,0
DC-05,SKU-008,antiviral,23,0,23,6.17,0.8,4.93,0.2056,2,4.661,4.66,2,0,7,12,9.87,13.13,48.0,0
DC-03,SKU-003,antiviral,169,122,291,79.37,0.814,64.64,2.6932,32,4.502,4.5,2,0,15,18,129.27,161.73,48.0,0
DC-05,SKU-014,antibiotic,72,0,72,37.3,1.407,52.47,2.1861,26,1.372,1.37,6,1,0,12,104.94,-32.94,21.04,0
DC-05,SKU-003,antiviral,45,50,95,71.22,0.979,69.74,2.9059,34,1.362,1.36,3,0,19,24,139.48,-44.48,20.99,1
DC-01,SKU-002,reefer,132,125,257,103.74,0.798,82.74,3.4476,41,3.106,3.11,0,0,9,24,165.49,91.51,48.0,0
DC-01,SKU-002,reefer,32,0,32,5.63,0.842,4.74,0.1974,2,6.753,6.75,5,1,21,36,9.48,22.52,48.0,0
DC-02,SKU-013,reefer,80,0,80,23.09,0.845,19.51,0.8129,9,4.1,4.1,1,0,20,36,39.02,40.98,48.0,0
DC-02,SKU-001,cardiac,83,0,83,50.41,1.048,52.82,2.2008,26,1.571,1.57,2,0,5,24,105.64,-22.64,25.9,1
DC-05,SKU-009,antiviral,180,25,205,60.83,1.116,67.88,2.8285,33,3.02,3.02,5,1,13,6,135.77,69.23,48.0,0
DC-03,SKU-001,cardiac,20,0,20,12.69,1.143,14.5,0.6042,7,1.379,1.38,3,0,16,24,29.0,-9.0,21.52,1
DC-02,SKU-007,antiviral,31,15,46,80.65,1.443,116.39,4.8495,58,0.395,0.4,3,0,14,12,232.78,-186.78,0.0,1
DC-03,SKU-001,cardiac,257,0,257,61.07,1.137,69.45,2.8938,34,3.7,3.7,0,0,7,24,138.9,118.1,48.0,0
DC-03,SKU-008,antiviral,77,69,146,53.87,0.822,44.27,1.8447,22,3.298,3.3,3,0,18,12,88.54,57.46,48.0,0
DC-03,SKU-005,reefer,7,22,29,13.72,1.426,19.55,0.8147,9,1.483,1.48,6,1,20,24,39.1,-10.1,24.55,1
DC-01,SKU-002,reefer,130,139,269,60.26,0.799,48.16,2.0065,24,5.586,5.59,6,1,9,24,96.31,172.69,48.0,0
DC-02,SKU-005,reefer,177,0,177,58.37,0.882,51.45,2.1439,25,3.44,3.44,1,0,22,24,102.91,74.09,48.0,0
DC-04,SKU-007,antiviral,91,47,138,56.25,1.07,60.2,2.5083,30,2.292,2.29,2,0,11,12,120.4,17.6,43.06,1
DC-05,SKU-011,cardiac,94,53,147,42.77,1.252,53.55,2.2314,26,2.745,2.74,0,0,12,24,107.11,39.89,48.0,0
