dc_id,sku_id,category,urgency_score,shortage_probability,hours_until_shortage,requested_quantity,effective_stock,projected_48h_sales,safety_stock
DC-01,SKU-005,reefer,100.0,0.99956006,0.015599381,181,18,100.992,25
DC-05,SKU-006,antibiotic,100.0,0.999479,0.0,192,0,90.3696,22
DC-03,SKU-007,antiviral,100.0,0.99935704,0.0,89,4,48.2256,12
DC-05,SKU-003,antiviral,100.0,0.9993468,0.008077402,174,5,81.1344,20
DC-03,SKU-006,antibiotic,100.0,0.9993125,0.0,227,0,118.14240000000001,29
DC-04,SKU-001,cardiac,100.0,0.99929345,0.0,214,0,96.08160000000001,24
DC-05,SKU-010,reefer,100.0,0.9991456,0.011293569,487,9,239.93760000000003,59
DC-03,SKU-002,reefer,100.0,0.9991448,0.0,171,0,89.328,22
DC-02,SKU-011,cardiac,100.0,0.9991366,0.0,194,6,103.72800000000001,25
DC-01,SKU-015,cardiac,100.0,0.99910456,0.0,542,0,267.57599999999996,66
DC-05,SKU-010,reefer,100.0,0.9990922,0.0,288,0,103.43520000000001,25
DC-04,SKU-005,reefer,100.0,0.99905854,0.0074665546,233,0,120.696,30
DC-02,SKU-015,cardiac,100.0,0.99905187,0.0,195,0,93.2448,23
DC-01,SKU-008,antiviral,100.0,0.9990496,0.0,187,0,88.0464,22
DC-01,SKU-009,antiviral,100.0,0.9990446,0.0,585,0,296.0016,74
DC-05,SKU-008,antiviral,100.0,0.9990362,0.021842942,183,4,84.4608,21
DC-04,SKU-008,antiviral,100.0,0.9990244,0.0,420,0,208.0704,52
DC-05,SKU-007,antiviral,100.0,0.99892753,0.01137971,235,9,123.3648,30
DC-04,SKU-001,cardiac,100.0,0.9988794,0.0,286,16,151.71359999999999,37
DC-02,SKU-004,reefer,100.0,0.998869,0.0,247,7,116.9472,29
DC-02,SKU-001,cardiac,100.0,0.9988232,0.0,222,0,115.6992,28
DC-03,SKU-004,reefer,100.0,0.998806,0.0,495,0,247.1664,61
DC-02,SKU-001,cardiac,100.0,0.9987902,0.008070878,31,3,12.5808,3
DC-01,SKU-008,antiviral,100.0,0.99877423,0.0,295,2,151.9152,37
DC-05,SKU-009,antiviral,100.0,0.99877423,0.0,151,5,77.80799999999999,19
DC-03,SKU-010,reefer,100.0,0.99877137,0.0,187,0,89.976,22
DC-03,SKU-002,reefer,100.0,0.9987527,0.0,37,5,21.523200000000003,5
DC-04,SKU-010,reefer,100.0,0.99874437,0.007424168,228,30,131.448,32
DC-01,SKU-015,cardiac,100.0,0.99868816,0.0,139,3,72.936,18
DC-02,SKU-003,antiviral,100.0,0.99864537,0.0,576,4,290.66880000000003,72
DC-01,SKU-011,cardiac,100.0,0.9985936,0.015464575,36,0,18.36,4
DC-01,SKU-001,cardiac,100.0,0.9985917,0.0,216,0,98.8416,24
DC-05,SKU-013,reefer,100.0,0.9985586,0.0,145,0,73.6896,18
DC-03,SKU-006,antibiotic,100.0,0.99855155,0.0026157857,158,11,84.2784,21
DC-05,SKU-009,antiviral,100.0,0.9985436,0.0,504,0,235.33440000000002,58
DC-04,SKU-007,antiviral,100.0,0.99848974,0.017573524,337,0,153.7392,38
DC-02,SKU-012,antiviral,100.0,0.9984841,0.0,323,0,143.93280000000001,35
DC-02,SKU-007,antiviral,100.0,0.9984756,0.0,193,8,95.2512,23
DC-01,SKU-008,antiviral,100.0,0.9984193,0.003883441,251,10,129.8784,32
DC-05,SKU-015,cardiac,100.0,0.99836975,0.0066884505,339,15,137.6016,34
DC-01,SKU-011,cardiac,100.0,0.9983102,0.013777506,122,0,57.096000000000004,14
DC-03,SKU-001,cardiac,100.0,0.9983038,0.0,251,2,91.99680000000001,22
DC-01,SKU-006,antibiotic,100.0,0.99828976,0.016347056,41,0,20.2512,5
DC-05,SKU-014,antibiotic,100.0,0.99822396,0.007391483,391,0,175.18560000000002,43
DC-03,SKU-015,cardiac,100.0,0.9981908,0.0,274,8,145.2432,36
DC-01,SKU-001,cardiac,100.0,0.99817085,0.0,389,2,183.70080000000002,45
DC-04,SKU-013,reefer,100.0,0.99809366,0.0,167,1,87.9168,21
DC-02,SKU-005,reefer,100.0,0.9980447,0.0,284,13,144.648,36
DC-03,SKU-008,antiviral,100.0,0.99804306,0.0,132,6,65.5488,16
DC-01,SKU-004,reefer,100.0,0.99803334,0.0,229,0,94.5168,23
DC-05,SKU-004,reefer,100.0,0.99793905,0.008532176,174,0,83.89920000000001,20
DC-04,SKU-006,antibiotic,100.0,0.99789375,0.0051650302,48,0,23.212799999999998,5
DC-05,SKU-004,reefer,100.0,0.99783057,0.0,48,3,24.1968,6
DC-02,SKU-012,antiviral,100.0,0.9977998,0.0,475,10,247.69920000000002,61
DC-02,SKU-004,reefer,100.0,0.9977921,0.0054974104,142,2,67.2816,16
DC-05,SKU-002,reefer,100.0,0.99776685,0.0044923644,303,0,140.688,35
DC-04,SKU-014,antibiotic,100.0,0.9977431,0.0,269,31,147.3888,36
DC-01,SKU-004,reefer,100.0,0.9976465,0.0,319,4,152.0832,38
DC-05,SKU-015,cardiac,100.0,0.9976109,0.0,190,8,81.2688,20
DC-01,SKU-005,reefer,100.0,0.99760675,0.0,66,3,34.536,8
DC-03,SKU-010,reefer,100.0,0.9975562,0.0,545,32,283.8384,70
DC-01,SKU-011,cardiac,100.0,0.99754876,0.0,54,2,27.364800000000002,6
DC-03,SKU-015,cardiac,100.0,0.9974769,0.0077065546,52,0,26.5152,6
DC-01,SKU-011,cardiac,100.0,0.99747,0.0,194,3,81.03359999999999,20
DC-01,SKU-002,reefer,100.0,0.9974611,0.01162083,127,0,58.430400000000006,14
DC-04,SKU-002,reefer,100.0,0.9974546,0.0,174,0,84.2256,21
DC-01,SKU-006,antibiotic,100.0,0.9974234,0.0,200,0,94.9344,23
DC-01,SKU-003,antiviral,100.0,0.9974189,0.019869842,75,0,37.9584,9
DC-01,SKU-009,antiviral,100.0,0.99741745,0.0,103,7,54.03359999999999,13
DC-02,SKU-013,reefer,100.0,0.997389,0.0,56,0,28.483200000000004,7
DC-01,SKU-012,antiviral,100.0,0.9973694,0.0015673155,304,0,143.87040000000002,35
DC-02,SKU-010,reefer,100.0,0.99736005,0.0,221,9,109.74719999999999,27
DC-03,SKU-001,cardiac,100.0,0.9973471,0.0,564,8,270.288,67
DC-05,SKU-010,reefer,100.0,0.99730104,0.016552797,215,16,95.17439999999999,23
DC-03,SKU-001,cardiac,100.0,0.9973002,0.0014533143,33,0,16.6224,4
DC-04,SKU-010,reefer,100.0,0.99727017,0.00016388138,424,0,200.3904,50
DC-04,SKU-011,cardiac,100.0,0.99706227,0.0,86,8,47.8656,11
DC-02,SKU-009,antiviral,100.0,0.9970214,0.0,266,15,100.1904,25
DC-03,SKU-001,cardiac,100.0,0.9970055,0.009595773,60,0,30.2592,7
DC-03,SKU-005,reefer,100.0,0.9969657,0.008344946,164,4,65.592,16
DC-05,SKU-002,reefer,100.0,0.99692816,0.0028933687,88,0,41.9424,10
DC-02,SKU-015,cardiac,100.0,0.9969241,0.015692824,106,0,47.2608,11
DC-01,SKU-009,antiviral,100.0,0.9969222,0.0094076805,322,4,148.1328,37
DC-04,SKU-008,antiviral,100.0,0.9968876,0.0,498,45,269.95680000000004,67
DC-02,SKU-009,antiviral,100.0,0.99684393,0.0,141,1,71.20320000000001,17
DC-05,SKU-014,antibiotic,100.0,0.9968321,0.0,26,2,14.5152,3
DC-03,SKU-004,reefer,100.0,0.9966433,0.014848158,83,10,42.36,10
DC-02,SKU-015,cardiac,100.0,0.99659216,0.0,477,38,227.90879999999999,56
DC-03,SKU-010,reefer,100.0,0.99656844,0.0077920426,300,0,106.10400000000001,26
DC-04,SKU-002,reefer,100.0,0.9965587,0.0037824681,282,0,119.07839999999999,29
DC-02,SKU-012,antiviral,100.0,0.9965411,0.0,519,11,241.81439999999998,60
DC-01,SKU-010,reefer,100.0,0.9965244,0.0,148,7,69.9936,17
DC-04,SKU-010,reefer,100.0,0.9964838,0.0104689635,325,5,146.9808,36
DC-03,SKU-005,reefer,100.0,0.9964714,0.0,126,0,60.5424,15
DC-05,SKU-013,reefer,100.0,0.9964644,0.00070682284,316,0,118.5168,29
DC-05,SKU-007,antiviral,100.0,0.99640477,0.0,67,0,33.2688,8
DC-05,SKU-012,antiviral,100.0,0.996314,0.0,114,11,65.544,16
DC-02,SKU-003,antiviral,100.0,0.99630225,0.0,136,0,64.1376,16
DC-01,SKU-010,reefer,100.0,0.99623007,0.0,51,3,27.912,6
DC-01,SKU-015,cardiac,100.0,0.9961248,0.0,346,0,132.0864,33
DC-01,SKU-015,cardiac,100.0,0.9960341,0.018102711,62,2,29.2272,7
DC-03,SKU-003,antiviral,100.0,0.99602604,0.0126783075,233,20,121.05599999999998,30
DC-04,SKU-004,reefer,100.0,0.9960258,0.0006294239,379,8,166.224,41
DC-04,SKU-014,antibiotic,100.0,0.99599826,0.006204471,44,0,21.624000000000002,5
